node,sum,delta
0,-40.0,-0.7800000000000864
1,-8.0,7.839999999999918
2,-20.0,-0.4800000000000182
3,-14.0,3.1399999999999864
4,-4.0,7.159999999999968
5,-29.0,-3.1000000000000227
6,1.0,4.740000000000009
7,-6.0,4.219999999999914
8,-7.0,0.01999999999998181
9,2.0,6.019999999999982
10,-15.0,2.339999999999918
11,1.0,3.9599999999999227
12,-33.0,0.4199999999999591
13,12.0,-4.100000000000023
14,17.0,-1.240000000000009
15,-10.0,-5.139999999999986
16,-19.0,-4.5
17,4.0,2.6399999999999864
18,-22.0,1.5599999999999454
19,-25.0,-2.340000000000032
20,-1.0,3.7199999999999136
21,37.0,-1.8799999999999955
22,1.0,-6.1200000000000045
23,21.0,-0.900000000000091
24,-40.0,1.0199999999999818
25,20.0,0.33999999999991815
26,-7.0,-1.2000000000000455
27,-20.0,-5.259999999999991
28,-26.0,-5.900000000000091
29,39.0,-4.400000000000091
30,12.0,-0.22000000000002728
31,12.0,2.2999999999999545
32,20.0,-0.44000000000005457
33,1.0,4.2999999999999545
34,3.0,-2.560000000000059
35,4.0,-0.10000000000002274
36,11.0,3.259999999999991
37,-17.0,-1.240000000000009
38,-13.0,2.7999999999999545
39,7.0,-2.340000000000032
40,-1.0,1.3999999999999773
41,-45.0,4.719999999999914
42,-35.0,-1.6800000000000637
43,18.0,3.939999999999941
44,-13.0,-1.400000000000091
45,-34.0,-3.480000000000018
46,8.0,3.2199999999999136
47,22.0,0.5799999999999272
48,-21.0,-1.8400000000000318
49,-2.0,2.67999999999995
